ID,Time,PLCCellID_CE,PLCCellIDClass_CE,BacirEchk_CE,MESSENDOUTCELLPOS,MESSENDOUTCELLID,PLCTrayID_CE,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE,PLCStartTime_CE,PLCCompleteTme_CE,mOhm
1789750,2026/8/12 16:50,MW2045B34043,A23,NULL,6,NULL,A10117,3.24E+00,9.40E-04,18743,NULL,268,0.00089
1789749,2026/8/12 16:50,MW2045B30148,A25,NULL,8,                    ,A07195,3.24E+00,1.01E-03,18023,NULL,268,0.00001
1789748,2026/8/12 16:50,MW2045B33961,A23,NULL,6,                    ,A07195,3.24E+00,1.28E-03,18146,NULL,268,0.00058
1789747,2026/8/12 16:49,MW2045B34047,A24,NULL,7,NULL,A10117,3.24E+00,1.04E-03,18609,NULL,268,0.00095
1789746,2026/8/12 16:49,MW2045B34480,A24,NULL,7,                    ,A07195,3.23E+00,1.02E-03,18331,NULL,268,0.00099
1789745,2026/8/12 16:49,MW2045B32798,A23,NULL,6,NULL,A10117,3.24E+00, ,18671,NULL,268,0.00044
1789744,2026/8/12 16:49,MW2045B34038,C24,NULL,24,                    ,A07195,3.23E+00,9.70E-04,18241,NULL,268,0.00065
1789743,2026/8/12 16:49,MW2045B34045,A24,NULL,7,NULL,A10117,3.23E+00,9.60E-04,18771,NULL,268,0.00083
1789742,2026/8/12 16:48,MW2045B34475,A26,NULL,9,                    ,A07195,3.23E+00,9.50E-04,18364,NULL,268,0.00036
1789741,2026/8/12 16:48,MW2045B33962,A24,NULL,7,NULL,A10117,3.24E+00,9.70E-04,18608,NULL,268,0.00065
1789740,2026/8/12 16:48,MW2045B06801,A26,NULL,9,                    ,A07195,3.23E+00,8.30E-04,18142,NULL,268,0.00015
1789739,2026/8/12 16:48,MW2045B26911,ANZ,NULL,18,NULL,A10117,3.24E+00,7.60E-04,18602,NULL,268,0.00026
1789738,2026/8/12 16:48,MW2045B06906,A26,NULL,9,                    ,A07195,3.23E+00,8.70E-04,18315,NULL,268,0.00026
1789737,2026/8/12 16:47,MW2045B26912,ANZ,NULL,18,NULL,A10117,3.24E+00,7.90E-04,18629,NULL,268,0.00068
1789736,2026/8/12 16:47,MW2045B31918,A24,NULL,7,NULL,A10117,3.24E+00, ,18547,NULL,268,0.00038
1789735,2026/8/12 16:47,MW2045B31853,C25,NULL,25,                    ,A07195,3.24E+00, ,18250,NULL,268,0.00041
1789734,2026/8/12 16:46,MW2045B31915,ANZ,NULL,18,NULL,A10117,3.24E+00, ,18623,NULL,268,0.00001
1789733,2026/8/12 16:46,MW2045B06904,B26,NULL,16,                    ,A07195,3.23E+00, ,18247,NULL,268,0.0004
1789732,2026/8/12 16:46,MW2045B31269,ANZ,NULL,18,NULL,A10117,3.24E+00, ,18663,NULL,268,0.00015
1789731,2026/8/12 16:46,MW2045B31856,A26,NULL,9,                    ,A07195,3.24E+00, ,18178,NULL,268,0.00086
1789730,2026/8/12 16:46,MW2045B33844,C24,NULL,24,                    ,A21937,3.24E+00,1.04E-03,18269,NULL,268,0.00073
1789729,2026/8/12 16:45,MW2045B32804,ANZ,NULL,18,NULL,A10117,3.24E+00,8.00E-04,18888,NULL,268,0.00031
1789728,2026/8/12 16:45,MW2045B33852,A24,NULL,7,                    ,A21937,3.24E+00,1.12E-03,18222,NULL,268,0.00034
1789727,2026/8/12 16:45,MW2045B31818,ANZ,NULL,18,NULL,A22886,3.24E+00,8.00E-04,18796,NULL,268,0.00027
1789726,2026/8/12 16:45,MW2045B33846,A25,NULL,8,                    ,A21937,3.24E+00,1.04E-03,18423,NULL,268,0.00058
1789725,2026/8/12 16:45,MW2045B33959,A22,NULL,5,NULL,A22886,3.24E+00,1.25E-03,18680,NULL,268,0.00034
1789724,2026/8/12 16:44,MW2045B32801,A24,NULL,7,                    ,A21937,3.24E+00,1.00E-03,18239,NULL,268,0.00065
1789723,2026/8/12 16:44,MW2045B33956,A23,NULL,6,NULL,A22886,3.24E+00,1.21E-03,18689,NULL,268,0.00067
1789722,2026/8/12 16:44,MW2045B32800,C23,NULL,23,                    ,A21937,3.23E+00,1.06E-03,17969,NULL,268,0.00015
1789721,2026/8/12 16:44,MW2045B31913,A24,NULL,7,NULL,A22886,3.24E+00,9.10E-04,18718,NULL,268,0.00071
1789720,2026/8/12 16:43,MW2045B33849,C23,NULL,23,                    ,A21937,3.24E+00,1.05E-03,18189,NULL,268,0.00057
1789719,2026/8/12 16:43,MW2045B31901,A24,NULL,7,NULL,A22886,3.24E+00,8.50E-04,18620,NULL,268,0.00064
1789718,2026/8/12 16:43,MW2045B32803,C23,NULL,23,                    ,A21937,3.23E+00,1.08E-03,18207,NULL,268,0.00053
1789717,2026/8/12 16:43,MW2044B24259,ANZ,NULL,18,NULL,A22886,3.24E+00,7.80E-04,18665,NULL,268,0.00008
1789716,2026/8/12 16:43,MW2045B33851,C23,NULL,23,                    ,A21937,3.24E+00,1.05E-03,18243,NULL,268,0.00089
1789715,2026/8/12 16:42,MW2044B23232,ANZ,NULL,18,NULL,A22886,3.24E+00,7.50E-04,18611,NULL,268,0.00087
1789714,2026/8/12 16:42,MW2045B32802,A24,NULL,7,                    ,A21937,3.24E+00,1.03E-03,18345,NULL,268,0.00024
1789713,2026/8/12 16:42,MW2044B23284,ANZ,NULL,18,NULL,A22886,3.24E+00,7.70E-04,18706,NULL,268,0.00003
1789712,2026/8/12 16:42,MW2045B26806,A24,NULL,7,                    ,A21937,3.24E+00, ,18075,NULL,268,0.00072
1789711,2026/8/12 16:41,MW2045B35401,C24,NULL,24,NULL,A22886,3.23E+00,9.80E-04,18539,NULL,268,0.00094
1789710,2026/8/12 16:41,MW2045B31267,A24,NULL,7,                    ,A21937,3.24E+00,8.70E-04,18390,NULL,268,0.00028
1789709,2026/8/12 16:41,MW2045B30109,A23,NULL,6,                    ,A21937,3.24E+00,1.08E-03,18007,NULL,268,0.00075
1789708,2026/8/12 16:41,MW2044B23285,ANZ,NULL,18,NULL,A22886,3.24E+00,7.60E-04,18695,NULL,268,0.00013
1789707,2026/8/12 16:41,MW2045B30128,A23,NULL,6,                    ,A14761,3.24E+00,1.05E-03,18020,NULL,268,0.00062
1789706,2026/8/12 16:40,MW2044B23286,ANZ,NULL,18,NULL,A22886,3.24E+00,7.50E-04,18679,NULL,268,0.00012
1789705,2026/8/12 16:40,MW2045B33955,A24,NULL,7,                    ,A14761,3.24E+00,1.17E-03,18238,NULL,268,0.00088
1789704,2026/8/12 16:40,MW2044B23287,ANZ,NULL,18,NULL,A22886,3.24E+00,7.60E-04,18664,NULL,268,0.00021
1789703,2026/8/12 16:40,MW2045B33952,A25,NULL,8,                    ,A14761,3.24E+00,1.04E-03,18139,NULL,268,0.00075
1789702,2026/8/12 16:39,MW2045B30131,B23,NULL,13,NULL,A16065,3.24E+00,8.30E-04,18668,NULL,268,0.00004
1789701,2026/8/12 16:39,MW2045B30126,B23,NULL,13,                    ,A14761,3.24E+00,9.90E-04,18131,NULL,268,0.00047
1789700,2026/8/12 16:39,MW2045B33588,A25,NULL,8,NULL,A16065,3.23E+00,9.30E-04,18651,NULL,268,0.00085
1789699,2026/8/12 16:39,MW2045B33953,A24,NULL,7,                    ,A14761,3.24E+00,9.80E-04,18226,NULL,268,0.00014
1789698,2026/8/12 16:39,MW2045B33587,C24,NULL,24,NULL,A16065,3.23E+00,8.20E-04,18677,NULL,268,0.00091
1789697,2026/8/12 16:38,MW2045B33950,A24,NULL,7,                    ,A14761,3.24E+00,1.16E-03,18324,NULL,268,0.00026
1789696,2026/8/12 16:38,MW2045B33958,A23,NULL,6,NULL,A16065,3.24E+00,9.10E-04,18684,NULL,268,0.00068
1789695,2026/8/12 16:38,MW2045B33951,C24,NULL,24,                    ,A14761,3.24E+00,1.22E-03,18160,NULL,268,0.00069
1789694,2026/8/12 16:38,MW2045B29614,B24,NULL,14,NULL,A16065,3.24E+00,8.60E-04,18559,NULL,268,0.00075
1789693,2026/8/12 16:38,MW2045B31916,A25,NULL,8,                    ,A14761,3.23E+00,9.70E-04,18103,NULL,268,0.00045
1789692,2026/8/12 16:37,MW2045B33058,B24,NULL,14,NULL,A16065,3.24E+00,1.00E-03,18650,NULL,268,0.00057
1789691,2026/8/12 16:37,MW2045B30122,B23,NULL,13,                    ,A14761,3.24E+00,9.90E-04,18184,NULL,268,0.00072
1789690,2026/8/12 16:37,MW2045B33949,A24,NULL,7,                    ,A14761,3.24E+00,9.70E-04,18203,NULL,268,0.00007
1789689,2026/8/12 16:37,MW2045B33057,D23,NULL,29,NULL,A16065,3.24E+00,8.90E-04,18687,NULL,268,0.00011
1789688,2026/8/12 16:36,MW2044B23289,C23,NULL,23,                    ,A14761,3.24E+00,8.70E-04,18197,NULL,268,0.00017
1789687,2026/8/12 16:36,MW2045B29615,B24,NULL,14,NULL,A16065,3.24E+00,8.60E-04,18551,NULL,268,0.00046
1789686,2026/8/12 16:36,MW2044B23288,C23,NULL,23,                    ,A14761,3.24E+00,8.70E-04,18154,NULL,268,0.00023
1789685,2026/8/12 16:36,MW2045B33056,B23,NULL,13,NULL,A16065,3.24E+00,9.60E-04,18608,NULL,268,0.00055
1789684,2026/8/12 16:35,MW2045B33055,D23,NULL,29,NULL,A16065,3.24E+00,9.90E-04,18662,NULL,268,0.0009
1789683,2026/8/12 16:35,MW2045B33054,D24,NULL,30,NULL,A16065,3.24E+00,9.30E-04,18812,NULL,268,0.00018
1789682,2026/8/12 16:35,MW2045B30107,B22,NULL,12,                    ,A25131,3.24E+00,1.08E-03,18089,NULL,268,0.00052
1789681,2026/8/12 16:35,MW2045B29710,A21,NULL,4,NULL,A16065,3.24E+00,1.01E-03,18555,NULL,268,0.00068
1789680,2026/8/12 16:35,MW2045B30060,B25,NULL,15,                    ,A25131,3.24E+00,9.60E-04,18219,NULL,268,0.00039
1789679,2026/8/12 16:34,MW2045B30108,B22,NULL,12,NULL,A07490,3.24E+00,9.40E-04,18487,NULL,268,0.00053
1789678,2026/8/12 16:34,MW2045B30059,A24,NULL,7,                    ,A25131,3.24E+00,8.70E-04,18024,NULL,268,0.00082
