ID,Time,PLCCellID_CE,PLCCellIDClass_CE,BacirEchk_CE,MESSENDOUTCELLPOS,MESSENDOUTCELLID,PLCTrayID_CE,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE,PLCStartTime_CE,PLCCompleteTme_CE,K_Value
1811378,2026/8/17 11:45,MW2027B07890,B47,NULL,14,NULL,A13323,3.22E+00,4.50E-04,18875,NULL,268,0.0229
1811377,2026/8/17 11:45,MW2037B02213,A47,NULL,7,                    ,A01554,3.23E+00,5.60E-04,18114,NULL,268,-0.02388
1811376,2026/8/17 11:44,MW2027B02352,KGH,NULL,3,NULL,A13323,3.20E+00,4.60E-04,18537,NULL,268,-0.11564
1811375,2026/8/17 11:44,MW2037B12441,O,NULL,1,                    ,NULL,3.23E+00,1.27E-03,18352,NULL,268,-0.009384
1811374,2026/8/17 11:43,MW2027B02352,KGH,NULL,3,NULL,A13323,3.20E+00,4.60E-04,18537,NULL,268,-0.0191
1811373,2026/8/17 11:43,MW2027B04964,CLL,NULL,19,NULL,A13323,3.20E+00,4.94E-03,18445,NULL,268,-0.01328
1811372,2026/8/17 11:43,MW2037B06177,A46,NULL,6,                    ,A01554,3.23E+00,7.90E-04,18171,NULL,268,0.01103
1811371,2026/8/17 11:41,MW2027B04964,CLL,NULL,19,NULL,A13323,3.20E+00,4.94E-03,18445,NULL,268,0.00052
1811370,2026/8/17 11:41,MW2037B06177,A46,NULL,6,                    ,A01554,3.23E+00,7.90E-04,18171,NULL,268,0.02094
1811369,2026/8/17 11:41,MW2027B14234,O,NULL,1,NULL,A13323,0.00E+00,0.00E+00,18812,NULL,268,0.00423
1811368,2026/8/17 11:41,MW2027B05298,B46,NULL,13,                    ,A01697,3.22E+00,5.70E-04,18163,NULL,268,0.00127
1811367,2026/8/17 11:40,MW2027B05298,B46,NULL,13,                    ,A01697,3.22E+00,5.70E-04,18163,NULL,268,0.00569
1811366,2026/8/17 11:39,MW2027B09473,O,NULL,1,NULL,A13323,0.00E+00,0.00E+00,18928,NULL,268,0.00227
1811365,2026/8/17 11:39,MW2027B00819,B47,NULL,14,                    ,A01697,3.22E+00,5.80E-04,18599,NULL,268,0.00193
1811364,2026/8/17 11:37,MW2027B00819,B47,NULL,14,                    ,A01697,3.22E+00,5.80E-04,18599,NULL,268,0.00173
1811363,2026/8/17 11:36,MW2027B14317,O,NULL,1,NULL,A13323,0.00E+00,0.00E+00,18902,NULL,268,0.00186
1811362,2026/8/17 11:36,MW2027B02899,B47,NULL,14,                    ,A01697,3.22E+00,5.60E-04,18136,NULL,268,0.0031
1811361,2026/8/17 11:35,MW2027B02899,B47,NULL,14,                    ,A01697,3.22E+00,5.60E-04,18136,NULL,268,0.00666
1811360,2026/8/17 11:35,MW2027B03016,B47,NULL,14,                    ,A01697,3.22E+00,5.80E-04,18309,NULL,268,-0.12585
1811359,2026/8/17 11:34,MW2027B00862,B47,NULL,14,                    ,A01697,3.22E+00,5.60E-04,18610,NULL,268,-0.02183
1811358,2026/8/17 11:34,MW2027B00861,B47,NULL,14,                    ,A01697,3.22E+00,5.70E-04,18394,NULL,268,-0.02629
1811357,2026/8/17 11:34,MW2027B00768,B47,NULL,14,                    ,A01697,3.22E+00,5.70E-04,18406,NULL,268,-0.03005
1811356,2026/8/17 11:33,MW2027B00855,B47,NULL,14,                    ,A01697,3.22E+00,5.80E-04,18385,NULL,268,-0.02518
1811355,2026/8/17 11:33,MW2027B00760,B47,NULL,14,                    ,A01697,3.21E+00,5.60E-04,18266,NULL,268,-0.04732
1811354,2026/8/17 11:32,MW2027B04088,B47,NULL,14,                    ,A01697,3.21E+00,5.60E-04,18312,NULL,268,-0.04009
1811353,2026/8/17 11:32,MW2027B03859,B48,NULL,15,                    ,A01697,3.22E+00,5.60E-04,18085,NULL,268,-0.04431
1811352,2026/8/17 11:32,MW2027B04298,B48,NULL,15,                    ,A01697,3.22E+00,5.70E-04,18293,NULL,268,-0.03069
1811351,2026/8/17 11:31,MW2035B00357,KGH,NULL,3,                    ,A19339,3.21E+00,1.05E-03,18538,NULL,268,-0.04731
1811350,2026/8/17 11:31,MW2037B00753,AC20,NULL,10,                    ,A19339,3.23E+00,9.50E-04,18262,NULL,268,-0.03646
1811349,2026/8/17 11:30,MW2037B04023,AC20,NULL,10,                    ,A19339,3.23E+00,1.69E-03,18031,NULL,268,0.03081
1811348,2026/8/17 11:30,MW2037B01810,AC20,NULL,10,                    ,A19339,3.23E+00,1.25E-03,18140,NULL,268,-0.05386
1811347,2026/8/17 11:29,MW2037B01017,AC20,NULL,10,                    ,A19339,3.22E+00,1.07E-03,18247,NULL,268,-0.04244
