ID,Time,PLCCellID_CE,PLCCellIDClass_CE,BacirEchk_CE,MESSENDOUTCELLPOS,MESSENDOUTCELLID,PLCTrayID_CE,K_Value,3.45V_mAH,3.5-2.8V_mAH,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE,PLCStartTime_CE,PLCCompleteTme_CE
1821485,2026/8/19 18:54,MW2045B31750,AC20,NULL,10,                    ,A01338,-0.01664,52923.5,52470.4,3.23E+00,8.90E-04,18185,NULL,268
1821484,2026/8/19 18:54,MW2044B18803,D45,NULL,28,NULL,A05698,-0.02211,53674.9,50320.8,3.24E+00,7.80E-04,18568,NULL,268
1821483,2026/8/19 18:54,MW2045B26812,AC20,NULL,10,                    ,A01338,-0.01012,50308.4,52436.3,3.23E+00,8.40E-04,18058,NULL,268
1821482,2026/8/19 18:54,MW2044B13153,C47,NULL,24,NULL,A05698,-0.03507,52647.4,51099.1,3.23E+00,7.90E-04,18713,NULL,268
1821481,2026/8/19 18:53,MW2045B30703,AC20,NULL,10,                    ,A01338,-0.00091,53604.8,51393.5,3.23E+00,8.30E-04,18176,NULL,268
1821480,2026/8/19 18:53,MW2045B49619,B45,NULL,12,NULL,A05698,-0.02892,54830.6,53488.5,3.24E+00,7.60E-04,18413,NULL,268
1821479,2026/8/19 18:53,MW2045B31758,AC20,NULL,10,                    ,A01338,-0.01132,53597.6,53703.3,3.23E+00,8.90E-04,18259,NULL,268
1821478,2026/8/19 18:53,MW2045B49618,A46,NULL,6,NULL,A05698,-0.03032,51759.4,54042.2,3.24E+00,7.60E-04,18496,NULL,268
1821477,2026/8/19 18:53,MW2045B31761,AC20,NULL,10,                    ,A01338,-0.00086,53791.9,51058.6,3.23E+00,8.50E-04,18094,NULL,268
1821476,2026/8/19 18:52,MW2045B48442,A46,NULL,6,NULL,A05698,-0.00371,52838.7,53486.4,3.23E+00,7.90E-04,18508,NULL,268
1821475,2026/8/19 18:52,MW2045B30275,AC20,NULL,10,                    ,A01338,-0.01271,50056.9,53229.3,3.23E+00,8.70E-04,18026,NULL,268
1821474,2026/8/19 18:52,MW2044B11472,A46,NULL,6,NULL,A05698,-0.00788,52792.6,54392.6,3.24E+00,7.70E-04,18558,NULL,268
1821473,2026/8/19 18:52,MW2045B31880,AC20,NULL,10,                    ,A01338,-0.02493,54761.5,50780.6,3.23E+00,8.80E-04,18227,NULL,268
1821472,2026/8/19 18:51,MW2044B11422,A46,NULL,6,NULL,A05698,-0.01235,54022.8,53899.6,3.24E+00,7.70E-04,18521,NULL,268
1821471,2026/8/19 18:51,MW2045B31911,AC20,NULL,10,                    ,A01338,-0.05141,51444.8,52196.6,3.23E+00,9.00E-04,18102,NULL,268
