Time,PLCCellID_CE,PLCCellIDClass_CE,PLCTrayID_CE,K_Value,3.45V_mAH,3.5-2.8V_mAH,acirVP12_CE,acirRP12_CE,CellThicknessP12_CE
2026/8/23 23:59,MW2045B70498,B43,A03156,-0.0436,52809.3,50771.8,3.24E+00,6.40E-04,18668
2026/8/23 23:59,MW2045B70499,B43,A03156,-0.03852,54710.6,51946.3,3.24E+00,6.30E-04,18488
2026/8/23 23:58,MW2017B20777,C42,A14366,-0.03266,54112.9,49708.1,3.22E+00,7.70E-04,17810
2026/8/23 23:58,MW2045B70401,B43,A03156,-0.0944,53286.2,52240.3,3.24E+00,5.20E-04,18532
2026/8/23 23:58,MW2041B16176,A43,A15652,-0.04075,53743.4,50596.9,3.22E+00,7.00E-04,17976
2026/8/23 23:58,MW2045B70410,B43,A03156,-0.03697,50659.4,52983.9,3.24E+00,4.90E-04,18503
2026/8/23 23:55,MW2045B70458,A43,A03156,-0.04192,52680.9,53820.5,3.24E+00,5.00E-04,18449
2026/8/23 23:55,MW2041B16177,A43,A15652,-0.0143,51406.5,49633.1,3.22E+00,7.30E-04,18197
2026/8/23 23:55,MW2041B16178,A42,A15652,-0.02908,52916.3,52763.7,3.22E+00,7.80E-04,18240
2026/8/23 23:55,MW2045B70457,A43,A03156,-0.01524,54094.9,49966.8,3.24E+00,5.90E-04,18420
2026/8/23 23:54,MW2017B24748,A43,A15652,-0.05869,52774.6,49118.2,3.22E+00,6.50E-04,18064
2026/8/23 23:54,MW2045B70454,A43,A03156,-0.03588,54945.8,52242.1,3.24E+00,6.90E-04,18572
2026/8/23 23:54,MW2041B16160,A42,A15652,-0.03792,51950.6,51061.7,3.22E+00,7.40E-04,18119
2026/8/23 23:54,MW2045B70446,A43,A03156,-0.02025,53847.5,53644.6,3.25E+00,6.60E-04,18577
2026/8/23 23:53,MW2041B06378,AC20,A15652,-0.02827,50507.4,52987.4,3.23E+00,8.60E-04,18199
2026/8/23 23:53,MW2045B70447,A43,A03156,-0.02586,53013.2,49172.7,3.25E+00,7.00E-04,18689
2026/8/23 23:53,MW2041B17108,AC20,A15652,-0.02739,54854.8,50202.5,3.23E+00,8.40E-04,18241
2026/8/23 23:53,MW2045B64610,A42,A03156,-0.01338,53272.7,51810.2,3.25E+00,4.90E-04,18577
2026/8/23 23:52,MW2041B08576,AC20,A15652,-0.02678,52618.9,49863.4,3.22E+00,8.40E-04,18052
2026/8/23 23:52,MW2045B52046,C43,A16706,-0.013,52917.4,54306.8,3.24E+00,6.80E-04,18544
2026/8/23 23:52,MW2041B17632,AC20,A15652,-0.01752,51459.9,49182.8,3.23E+00,8.10E-04,18040
2026/8/23 23:52,MW2045B39540,A43,A16706,-0.02215,54370.3,49670.4,3.24E+00,6.50E-04,18765
2026/8/23 23:52,MW2041B06948,AC20,A15652,-0.01708,51348.9,49734.2,3.22E+00,8.80E-04,18304
2026/8/23 23:51,MW2045B38220,C42,A16706,-0.03876,52423.3,50237.8,3.24E+00,7.90E-04,18688
2026/8/23 23:51,MW2041B02164,A43,A15652,-0.01238,52169.4,52794.9,3.22E+00,6.00E-04,18184
2026/8/23 23:51,MW2041B15307,A43,A15652,-0.02052,53173.8,51124.2,3.22E+00,5.60E-04,18195
2026/8/23 23:51,MW2045B51922,A43,A16706,-0.01177,52940.9,54336.3,3.24E+00,6.90E-04,18756
2026/8/23 23:51,MW2045B34329,O,A04031,-0.03073,54855.8,51891.5,3.24E+00,1.02E-03,18119
2026/8/23 23:50,MW2045B51967,C43,A16706,-0.0179,54674.6,52480.9,3.24E+00,7.00E-04,18733
2026/8/23 23:50,MW2045B53050,O,A04031,-0.0814,54650.1,53763.3,3.24E+00,9.30E-04,17985
2026/8/23 23:50,MW2045B59848,A43,A16706,-0.0451,54919.3,49794.6,3.24E+00,7.10E-04,18495
2026/8/23 23:50,MW2045B53049,O,A04031,-0.02468,51969.5,50566.1,3.23E+00,8.90E-04,18042
2026/8/23 23:50,MW2016B03954,C41,A16706,-0.03313,53083.7,52729.3,3.22E+00,7.30E-04,18558
2026/8/23 23:49,MW2044B09281,O,A04031,-0.01429,51492.8,51565.3,3.23E+00,7.60E-04,18195
2026/8/23 23:49,MW2017B09297,C43,A16706,-0.01087,54244.3,52382.4,3.22E+00,7.00E-04,18941
2026/8/23 23:49,MW2045B53271,O,A04031,-0.0141,53061.5,49386.5,3.24E+00,9.00E-04,17906
2026/8/23 23:49,MW2016B03953,C42,A16706,-0.03855,52004.8,49970.6,3.22E+00,7.90E-04,18659
2026/8/23 23:48,MW2044B09067,O,A04031,-0.0805,50559.3,52582.2,3.23E+00,7.00E-04,18227
2026/8/23 23:48,MW2017B07549,C42,A16706,-0.03289,54658.7,49212.4,3.21E+00,7.90E-04,18680
2026/8/23 23:48,MW2044B09302,O,A04031,-0.03126,53791.9,53436.9,3.24E+00,8.20E-04,18236
2026/8/23 23:48,MW2045B26735,A43,A16706,-0.04068,51630.4,50653.2,3.24E+00,5.60E-04,18651
2026/8/23 23:48,MW2045B53275,O,A04031,-0.0453,52949.2,51923.6,3.24E+00,8.60E-04,18112
2026/8/23 23:47,MW2045B26740,A43,A16706,-0.03539,52403.1,51688.2,3.24E+00,5.40E-04,18627
2026/8/23 23:47,MW2045B63294,O,A04031,-0.0174,54175.9,52616.9,3.24E+00,8.50E-04,18019
2026/8/23 23:47,MW2045B53279,O,A04031,-0.03615,54404.4,51259.4,3.24E+00,8.50E-04,18021
2026/8/23 23:47,MW2045B26729,A43,A24508,-0.01422,54310.2,53714.8,3.24E+00,5.30E-04,18610
2026/8/23 23:46,MW2045B63293,O,A04031,-0.01182,52621.2,49502.7,3.24E+00,7.50E-04,18148
2026/8/23 23:46,MW2045B26743,A43,A24508,-0.01712,53242.5,53648.7,3.24E+00,5.50E-04,18654
2026/8/23 23:46,MW2045B34372,O,A04031,-0.03292,54190.1,49968.2,3.24E+00,9.80E-04,18137
2026/8/23 23:46,MW2045B32537,A43,A24508,-0.0592,54143.7,53787.4,3.24E+00,6.80E-04,18607
2026/8/23 23:46,MW2043B01634,AC20,A01327,-0.0448,51979.3,54315.5,3.23E+00,8.90E-04,18326
2026/8/23 23:45,MW2044B15684,A43,A24508,-0.01555,53962.1,51312.8,3.24E+00,6.30E-04,18681
2026/8/23 23:45,MW2042B00767,AC20,A01327,-0.03201,54022.3,53141.9,3.23E+00,8.20E-04,18348
2026/8/23 23:45,MW2045B50835,A41,A24508,-0.0863,53769.8,53398.1,3.24E+00,6.50E-04,18550
2026/8/23 23:45,MW2045B36156,AC20,A01327,-0.02585,52396.9,50462.4,3.23E+00,8.80E-04,18156
2026/8/23 23:45,MW2045B52699,A43,A24508,-0.03488,52014.2,53531.7,3.24E+00,6.70E-04,18712
2026/8/23 23:44,MW2045B27178,AC20,A01327,-0.02613,51457.6,52825.7,3.23E+00,9.40E-04,18174
2026/8/23 23:44,MW2045B51932,C43,A24508,-0.01404,51164.3,49914.1,3.24E+00,6.50E-04,18748
2026/8/23 23:44,MW2045B29644,AC20,A01327,-0.0617,52554.4,54866.4,3.23E+00,8.30E-04,18066
2026/8/23 23:44,MW2045B10736,AC20,A01327,-0.03988,50481.1,52195.5,3.23E+00,8.30E-04,18155
2026/8/23 23:44,MW2017B04387,C42,A24508,-0.02071,50496.2,50201.4,3.22E+00,4.80E-04,18713
2026/8/23 23:43,MW2045B05338,AC20,A01327,-0.02048,54467.5,50874.9,3.23E+00,8.10E-04,18088
2026/8/23 23:43,MW2016B01094,A43,A24508,-0.01458,51219.8,52949.4,3.22E+00,5.20E-04,18794
2026/8/23 23:43,MW2045B36155,AC20,A01327,-0.02871,50398.2,53367.8,3.23E+00,8.50E-04,18062
2026/8/23 23:43,MW2017B04393,C41,A24508,-0.01825,54507.4,54992.4,3.21E+00,5.00E-04,18759
2026/8/23 23:43,MW2045B07134,AC20,A01327,-0.0107,53862.3,54393.6,3.23E+00,8.70E-04,17965
2026/8/23 23:42,MW2016B01095,A43,A24508,-0.02372,52713.2,49230.3,3.22E+00,5.20E-04,18774
2026/8/23 23:42,MW2043B01370,AC20,A01327,-0.01212,51654.4,54639.1,3.23E+00,8.70E-04,18394
2026/8/23 23:42,MW2016B01871,O,A24508,-0.02578,51637.4,49514.8,0.00E+00,0.00E+00,18800
2026/8/23 23:42,MW2044B03800,AC20,A01327,-0.02681,54535.8,49710.3,3.23E+00,8.30E-04,18227
2026/8/23 23:41,MW2045B05858,AC20,A01327,-0.04105,54298.1,53694.1,3.23E+00,8.70E-04,18123
2026/8/23 23:41,MW2017B00623,D41,A01912,-0.0933,50989.8,53077.1,3.22E+00,6.00E-04,18411
2026/8/23 23:40,MW2017B05545,A41,A01912,-0.01782,53243.4,52450.6,3.22E+00,5.80E-04,18170
2026/8/23 23:40,MW2017B00624,D41,A01912,-0.02599,54422.6,50528.1,3.21E+00,6.40E-04,18280
2026/8/23 23:40,MW2045B71399,CHH,A14059,-0.01565,53350.3,49894.3,3.24E+00,5.30E-04,18632
2026/8/23 23:40,MW2017B02694,D41,A01912,-0.0327,53176.4,50491.6,3.22E+00,6.20E-04,18346
2026/8/23 23:39,MW2045B66724,A46,A14059,-0.02465,52298.3,51592.5,3.24E+00,5.00E-04,18277
2026/8/23 23:39,MW2017B04317,D43,A01912,-0.01495,53639.6,53565.3,3.22E+00,5.60E-04,18104
2026/8/23 23:39,MW2017B02710,D43,A01912,-0.0475,50491.1,49362.8,3.23E+00,6.00E-04,18211
2026/8/23 23:39,MW2045B71511,CHH,A14059,-0.0951,53462.9,49898.3,3.24E+00,5.10E-04,18613
2026/8/23 23:38,MW2017B00600,B41,A01912,-0.02504,54455.6,54171.4,3.23E+00,5.80E-04,18361
2026/8/23 23:38,MW2045B62499,A46,A14059,-0.03957,52113.6,49613.6,3.24E+00,6.90E-04,18647
2026/8/23 23:38,MW2017B05549,A41,A01912,-0.02434,52762.2,51991.3,3.22E+00,5.80E-04,18239
2026/8/23 23:38,MW2045B70422,A45,A14059,-0.02717,54874.2,54664.1,3.24E+00,6.30E-04,18552
2026/8/23 23:38,MW2017B04484,A43,A01912,-0.02964,50931.1,53775.9,3.22E+00,6.10E-04,18317
2026/8/23 23:37,MW2045B70272,A45,A14059,-0.0401,51457.7,53030.4,3.24E+00,6.60E-04,18366
2026/8/23 23:37,MW2017B02711,D43,A01912,-0.0262,50648.2,53093.3,3.23E+00,5.80E-04,18220
2026/8/23 23:37,MW2045B70481,A44,A14059,-0.0971,54222.4,54947.1,3.25E+00,6.60E-04,18531
