Time,PLCCellID_CE,PLCCellIDClass_CE,PLCTrayID_CE,K_Value,3.45V_mAH,3.5-2.8V_mAH,acirVP12_CE,acirRP12_CE
2026/8/25 09:03,MW2038B07159,C48,A14005,-0.0494,52017.8,50899.4,3.25E+00,5.30E-04
2026/8/25 09:03,MW2038B07201,C47,A11171,-0.01487,51756.1,52435.2,3.25E+00,6.20E-04
2026/8/25 09:03,MW2038B07177,A47,A11171,-0.03234,52467.4,50928.4,3.25E+00,6.30E-04
2026/8/25 09:02,MW2038B07158,A47,A14005,-0.03996,53364.6,49617.6,3.25E+00,5.10E-04
2026/8/25 09:02,MW2038B07163,A48,A11171,-0.06018,52012.1,51388.9,3.25E+00,6.20E-04
2026/8/25 09:02,MW2038B07193,A47,A14005,-0.09092,52489.7,53081.2,3.25E+00,5.20E-04
2026/8/25 09:02,MW2038B07162,A48,A11171,-0.09189,53763.4,50296.6,3.25E+00,6.20E-04
2026/8/25 09:02,MW2038B07194,A47,A14005,-0.06873,53482.7,51162.7,3.25E+00,5.20E-04
2026/8/25 09:01,MW2038B07164,A48,A11171,-0.02881,53329.2,49419.1,3.25E+00,6.00E-04
2026/8/25 09:01,MW2038B07196,A47,A14005,-0.02334,54388.6,52068.1,3.25E+00,5.10E-04
2026/8/25 09:01,MW2038B07165,A47,A11171,-0.02147,52232.4,51783.2,3.25E+00,6.00E-04
2026/8/25 09:01,MW2038B07167,A47,A14005,-0.0064,51898.8,53224.9,3.25E+00,5.10E-04
2026/8/25 09:01,MW2038B12809,A48,A20105,-0.00872,52631.9,50083.1,3.25E+00,5.60E-04
2026/8/25 09:00,MW2038B12802,A48,A11170,-0.00216,51176.6,50149.6,3.25E+00,4.60E-04
2026/8/25 09:00,MW2038B12804,A48,A20105,-0.00217,51381.3,51237.3,3.25E+00,5.70E-04
2026/8/25 09:00,MW2038B12800,A48,A11170,-0.00806,53059.5,52748.2,3.24E+00,4.50E-04
2026/8/25 09:00,MW2038B12805,A48,A20105,-0.00703,53158.1,53477.9,3.25E+00,6.50E-04
2026/8/25 08:56,MW2038B12805,A48,A20105,-0.00905,50669.9,52236.1,3.25E+00,6.50E-04
2026/8/25 08:53,MW2038B12812,A48,A11170,-0.00594,52549.4,51307.9,3.24E+00,4.80E-04
